Task Name,Objects,Instructions,Wrong Instructions
GetIceFromFridge,"['fridge_root', 'fridge_base', 'cup', 'fridge_visual', 'Plane', 'cup_visual', 'tongue', 'tongue_visual']","['get ice from fridge', 'use the cup to get ice from the fridge', 'pick up the cup and fill it with ice from the fridge', 'push the cup up against the tongue of the ice dispenser to retrieve ice from the fridge']","['get ice from the cup', 'use the tongue to get ice from the fridge', 'pick up the tongue and fill it with ice from the fridge', 'push the tongue up against the cup of the ice dispenser to retrieve ice from the fridge']"
HangFrameOnHanger,"['frame', 'task_wall', 'frame_visual', 'frame_detector', 'Cuboid2', 'picture', 'hanger']","['hang frame on hanger', 'hang the picture up', 'hang the picture frame up on the wall', 'place the frame on the hanger']","['place the frame on the floor', 'hang the cuboid on the hanger', 'put the picture on the frame']"
InsertOntoSquarePeg,"['square_base', 'pillar0', 'pillar1', 'pillar2', 'boundary0', 'boundary1', 'boundary3', 'boundary2', 'square_ring']","['put the ring on the yellow spoke', 'slide the ring onto the yellow colored spoke', 'place the ring onto the yellow spoke']","['put the ring on the red spoke', 'slide the ring onto the blue colored spoke', 'place the ring onto the green spoke']"
PutRubbishInBin,"['bin', 'rubbish', 'tomato1', 'tomato2', 'bin_visual', 'rubbish_visual', 'tomato1_visual', 'tomato2_visual']","['put rubbish in bin', 'drop the rubbish into the bin', 'pick up the rubbish and leave it in the trash can', 'throw away the trash, leaving any other objects alone', 'chuck way any rubbish on the table rubbish']","['put tomato1 in bin', 'drop the tomato2 into the bin', 'pick up the tomato1 and leave it in the trash can']"
PutShoesInBox,"['shoe2', 'box_base', 'shoe1', 'shoe2_visual', 'shoe1_visual', 'box_lid']","['put the shoes in the box', 'open the box and place the shoes inside', 'open the box lid and put the shoes inside']","['close the box and place the shoes inside', 'put the shoes on top of the box', 'open the box and take the shoes out']"
PutToiletRollOnStand,"['toilet_roll_box', 'stand_base', 'boundary_roll', 'boundary_stand', 'toilet_roll', 'toilet_roll_holder', 'toilet_roll_visual', 'holder_visual']","['put toilet roll on stand', 'place the toilet roll on the stand', 'slide the roll onto its holder']","['put the stand on the toilet roll', 'place the stand on the toilet roll', 'slide the holder onto the roll']"
PutTrayInOven,"['oven_boundary_root', 'tray', 'oven_frame0', 'oven_base', 'oven_tray_boundary', 'tray_visual', 'oven_knob_8', 'oven_stove_top0', 'oven_gas_source0', 'oven_knob_10', 'oven_knob_11', 'oven_knob_12', 'oven_knob_13', 'oven_knob_14', 'oven_door', 'oven_knob', 'oven_tray', 'oven_door_visual', 'oven_knob_visual', 'oven_tray_visual']","['put tray in oven', 'place the tray in the oven', 'open the oven, then slide the tray in', 'open the oven door, pick up the tray, and put it down on the oven shelf']","['put tray on stove', 'place the tray on the oven top', 'open the oven, then slide the tray under it', 'open the oven door, pick up the tray, and put it down on the floor']"
ReachAndDrag,"['cube', 'stick', 'target0']","['use the stick to drag the cube onto the orange target', 'pick up the stick and use it to push or pull the cube onto the orange target', 'drag the block towards the orange square on the table top', 'grasping the stick by one end, pick it up and use the its other end to move the block onto the orange target']","['use the cube to drag the stick onto the orange target', 'pick up the cube and use it to push or pull the stick onto the orange target', 'drag the stick towards the orange square on the table top', 'grasping the cube by one end, pick it up and use its other end to move the stick onto the orange target']"
RemoveCups,"['tree_boundary', 'place_cups_holder_base', 'place_cups_holder_spoke2', 'place_cups_holder_spoke3', 'place_cups_holder_spoke1', 'place_cups_holder_spoke0', 'mug2', 'mug3', 'mug1', 'mug0', 'mug_visual2', 'mug_visual3', 'mug_visual1', 'mug_visual0']","['remove 2 cups from the cup holder and place it on the table', 'remove 2 cups from the cup holder', 'pick up 2 cups from the mug tree and place them on the table', 'slide 2 mugs off of their spokes on the cup holder and leave them on the table top']","['remove 3 cups from the cup holder and place it on the table', 'remove 1 cup from the cup holder', 'pick up 3 cups from the mug tree and place them on the table', 'slide 1 mug off of their spokes on the cup holder and leave them on the table top']"
ScoopWithSpatula,"['scoop_with_spatula_spatula', 'Cuboid', 'spatula_visual']","['scoop up the cube and lift it with the spatula', 'scoop up the block and lift it with the spatula', 'use the spatula to scoop the cube and lift it', 'use the spatula to scoop the block and lift it', 'pick up the cube using the spatula', 'pick up the block using the spatula']","['scoop up the cube and lift it with the gripper', 'scoop up the block and lift it with the gripper', 'use the gripper to scoop the cube and lift it']"
SetTheTable,"['spoon', 'fork', 'knife', 'glass', 'plate', 'holder', 'spoon_visual', 'fork_visual', 'knife_visual', 'glass_visual', 'plate_visual']","['set the tableplace the dishes and cutlery on the table in preparation for a meal', 'pick up the plate and put it down on the table, then place the fork to its left, the knife and then the spoon to its right, and set the glass down just above them', 'prepare the table for a meal', 'arrange the plate, cutlery and glass neatly on the table so that a person can eat', 'get the table ready for lunch', 'get the table ready for dinner']","['pick up the glass and put it down on the table, then place the knife to its left, the fork and then the spoon to its right, and set the plate down just above them', 'prepare the table for breakfast', 'arrange the glass, cutlery and plate neatly on the table so that a person can eat']"
SetupCheckers,"['chess_board_base', 'chess_board_base_visual', 'checker9', 'checker8', 'checker7', 'checker6', 'checker5', 'checker4', 'checker3', 'checker23', 'checker22', 'checker21', 'checker20', 'checker2', 'checker19', 'checker18', 'checker17', 'checker16', 'checker13', 'checker15', 'checker14', 'checker12', 'checker11', 'checker10', 'checker1', 'checker0', 'chess_board_surface', 'squares_black', 'squares_white']","['place the 2 remaining checkers in their initial positions on the board', 'prepare the checkers board', 'get the chess board ready for a game of checkers', 'setup the checkers board', 'setup checkers', 'arrange the checkers ready for a game', 'get checkers ready']","['place the 3 remaining checkers in their initial positions on the board', 'prepare the chess board', 'get the checkers board ready for a game of chess']"
SlideBlockToTarget,"['target', 'block']","['slide the block to target', 'slide the block onto the target', 'push the block until it is sitting on top of the target', 'slide the block towards the green target', 'cover the target with the block by pushing the block in its direction']","['lift the block and place it on the target', 'rotate the block and drop it on the target', 'pick up the block and move it to the target']"
Hockey,"['hockey_goal', 'hockey_goal_visual', 'hockey_stick', 'hockey_ball']","['hit the ball into the net', 'use the stick to push the hockey ball into the goal', 'pick up the hockey stick, then swing at the ball in the direction of the net', 'score a hockey goal', 'grasping one end of the hockey stick, swing it such that the other end collides with the ball such that the ball goes into the goal']","['pick up the hockey ball and throw it into the net', 'use the hockey stick to hit the goal', 'grasp the hockey goal and move it towards the ball']"
InsertUsbInComputer,"['Cuboid', 'computer', 'usb', 'computer_visual', 'usb_visual0', 'tip', 'Plane', 'Plane0', 'Plane1', 'Plane2', 'usb_visual1']","['insert usb in computer', 'pick up the usb and put it in the computer', 'slide the usb into the usb slot', 'insert the usb stick into the usb port']","['pick up the computer and put it in the usb', 'insert computer in usb', 'slide the computer into the usb slot']"
PressSwitch,"['task_wall', 'switch_main', 'Shape_sub', 'Shape_sub0', 'Shape_sub1', 'switch', 'switch_visual']","['press switch', 'turn the switch on or off', 'flick the switch']","['pick up the switch', 'rotate the switch', 'move the switch to the left']"
PlayJenga,"['Cuboid', 'Cuboid0', 'Cuboid1', 'Cuboid2', 'Cuboid3', 'Cuboid4', 'Cuboid5', 'Cuboid6', 'Cuboid7', 'Cuboid8', 'Cuboid9', 'Cuboid10', 'Cuboid11', 'Cuboid12', 'target_cuboid']","['play jengaTake the protruding block out of the jenga tower without the tower toppling', 'Keeping the tower from tumbling, remove the protruding jenga block', 'Ensuring the jenga tower remains in place, slide the protruding block out']","['Take the jenga block from the top of the tower', 'Remove any block from the jenga tower', 'Slide the block from the bottom of the jenga tower']"
MeatOffGrill,"['grill', 'chicken', 'grill_visual', 'steak', 'chicken_visual', 'steak_visual']","['take the steak off the grill', 'pick up the steak and place it next to the grill', 'remove the steak from the grill and set it down to the side']","['take the chicken off the grill', 'pick up the chicken and place it next to the grill', 'remove the chicken from the grill and set it down to the side']"
HitBallWithQueue,"['queue', 'hit_ball_with_queue_stopper1', 'hit_ball_with_queue_stopper2', 'queue_visual', 'ball', 'hit_ball_with_queue_pocket1', 'hit_ball_with_queue_pocket0', 'hit_ball_with_queue_pocket']","['hit ball with queue in to the goal', 'pot the ball in the goal', 'pick up the que and use it to pot the ball into the goal']","['pick up the ball and use it to hit the queue', 'pot the queue in the goal', 'hit the goal with the queue to pot the ball']"
ScrewNail,"['block', 'screw_driver', 'screw', 'screw_driver_visual', 'screwdriver2', 'screw_visual', 'screw_visual_strip']","['screw the nail in to the block', 'pick up the screwdriver and screw in the protruding nail', 'grasping the screw driver by its handle, slide its tip into the groove on the end of the nail, and rotate the screw driver in an anti clockwise direction around the vertical axis', 'lift the screwdriver up by its handle, lower its tip into the protruding nail, and screw in the nail']","['hammer the nail into the block', 'pick up the block and screw in the protruding nail', 'grasping the screw by its head, slide its tip into the groove on the end of the screwdriver, and rotate the screw in a clockwise direction around the horizontal axis', 'lift the screw up by its head, lower its tip into the protruding screwdriver, and screw in the block']"
LampOff,"['lamp_base', 'push_button_target', 'lamp_screw', 'lampshade', 'cable', 'bulb_phys', 'target_button_topPlate', 'light_bulb', 'target_button_wrap', 'bulb']","['turn off the light', 'press the button to turn off the lamp', 'press the light switch', 'turn the lamp off', 'close the gripper and press on the button until the light turns off']","['turn on the light', 'press the button to turn on the lamp', 'press the light switch to turn on', 'turn the lamp on', 'open the gripper and press on the button until the light turns on']"
LampOn,"['lamp_base', 'lamp_screw', 'lampshade', 'push_button_target', 'cable', 'bulb_phys', 'light_bulb', 'target_button_topPlate', 'bulb', 'target_button_wrap']","['turn on the light', 'press the button to turn on the lamp', 'press the light switch', 'turn the lamp on', 'close the gripper and press on the button until the light turns on']","['turn off the light', 'press the button to turn off the lamp', 'press the light switch to turn off', 'turn the lamp off', 'open the gripper and press on the button until the light turns off']"
MeatOnGrill,"['grill', 'chicken', 'grill_visual', 'steak', 'chicken_visual', 'steak_visual']","['put the chicken on the grill', 'pick up the chicken and place it on the grill', 'grill the chicken']","['put the steak on the grill', 'pick up the steak and place it on the grill', 'grill the steak']"
MoveHanger,"['clothes_rack', 'clothes_rack0', 'clothes_rack_sub1', 'clothes_rack_sub0', 'clothes_rack_sub2', 'clothes_rack_sub3', 'clothes_hanger0', 'clothes_hanger_visual0']","['move hanger onto the other rackmove the hanger from one rack to the other', 'put the hanger on the other rack', 'pick up the hanger and place it on the other rack']","['move the hanger to the same rack', 'put the hanger on the floor', 'pick up the hanger and drop it']"
OpenJar,"['jar0', 'jar1', 'spawn_boundary', 'jar_lid0', 'jar_lid1', 'target']","['open the purple jar', 'unscrew the purple jar', 'grasp the lid of the purple jar, unscrew it in an anti_clockwise direction until it is removed from the jar, and leave it on the table top', 'remove the lid from the purple jam jar and set it down on the table']","['close the purple jar', 'screw the purple jar', 'grasp the lid of the purple jar, screw it in a clockwise direction until it is tightly closed, and leave it on the table top']"
OpenWineBottle,"['bottle', 'bottle_visual', 'label', 'dummy', 'cap', 'cap_visual']","['open wine bottle', 'screw open the wine bottle', 'unscrew the bottle cap then remove it from the wine bottle']","['close wine bottle', 'screw close the wine bottle', 'screw the bottle cap then place it on the wine bottle']"
PlaceCups,"['place_cups_holder_base', 'mug_boundary', 'place_cups_holder_spoke3', 'place_cups_holder_spoke1', 'place_cups_holder_spoke2', 'mug3', 'place_cups_holder_spoke0', 'mug0', 'mug2', 'mug1', 'mug_visual3', 'mug_visual0', 'mug_visual2', 'mug_visual1']","['place 1 cup on the cup holder', 'pick up one cup and put it on the mug tree', 'move 1 mug from the table to the cup holder', 'pick up one cup and slide its handle onto a spoke on the mug holder']","['place 2 cups on the cup holder', 'pick up two cups and put them on the mug tree', 'move 2 mugs from the table to the cup holder', 'pick up one cup and slide its base onto a spoke on the mug holder']"
PlaceHangerOnRack,"['hanger_holder', 'clothes_rack', 'hanger_holder0', 'hanger_holder_visual', 'clothes_hanger', 'clothes_rack_sub2', 'clothes_rack_sub3', 'clothes_hanger_visual']","['pick up the hanger and place in on the rackput the hanger on the rack', 'hang the hanger up', 'grasp the hanger and hang it up']","['pick up the hanger and place it on the hanger_holder', 'put the hanger on the clothes_rack_sub2', 'grasp the hanger and place it on the clothes_rack_sub3']"
PlaceShapeInShapeSorter,"['shape_sorter', 'triangular_prism', 'star', 'moon', 'cube', 'cylinder', 'boundary', 'shape_sorter_visual', 'shape_sorter_top', 'star_visual', 'moon_visual']","['put the triangular prism in the shape sorter', 'pick up the triangular prism and put it in the sorter', 'place the triangular prism into its slot in the shape sorter', 'slot the triangular prism into the shape sorter']","['put the star in the shape sorter', 'pick up the moon and put it in the sorter', 'place the cube into its slot in the shape sorter', 'slot the cylinder into the shape sorter']"
PutBottleInFridge,"['fridge_root', 'fridge_base', 'fridge_base_visual', 'shelf0', 'bottle', 'door_bottom', 'door_top', 'shelf1', 'shelf2', 'bottle_visual', 'cap_visual', 'label', 'door_bottom_visual', 'door_top_visual']","['put bottle in fridge', 'place the bottle inside the fridge', 'open the fridge and put the bottle in there', 'open the fridge door, pick up the bottle, and leave it in the fridge']","['throw the bottle in the fridge', 'place the bottle on top of the fridge', 'open the fridge and put the bottle on the shelf']"
